Names,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Average Stats,Type Combination,Atk-Def Ratio,Rank,Image_URL
Alolan  Dugtrio,Ground,Steel,425,35,100,60,50,70,110,70.83333333,Ground-Steel,1.666666667,684,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png
Meowth,Normal,null,290,40,45,35,40,40,90,48.33333333,Normal,1.285714286,1052,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png
Alolan  Meowth,Dark,null,290,40,35,35,50,40,90,48.33333333,Dark,1,1052,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png
Galarian  Meowth,Steel,null,290,50,65,55,40,40,40,48.33333333,Steel,1.181818182,1052,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png
Persian,Normal,null,440,65,70,60,65,65,115,73.33333333,Normal,1.166666667,652,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png
Alolan  Persian,Dark,null,440,65,60,60,75,65,115,73.33333333,Dark,1,652,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png
Psyduck,Water,null,320,50,52,48,65,50,55,53.33333333,Water,1.083333333,926,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png
Golduck,Water,null,500,80,82,78,95,80,85,83.33333333,Water,1.051282051,365,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png
Mankey,Fighting,null,305,40,80,35,35,45,70,50.83333333,Fighting,2.285714286,988,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png
Primeape,Fighting,null,455,65,105,60,60,70,95,75.83333333,Fighting,1.75,618,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png
Growlithe,Fire,null,350,55,70,45,70,50,60,58.33333333,Fire,1.555555556,848,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png
Hisuian  Growlithe,Fire,Rock,350,60,75,45,65,50,55,58.33333333,Fire-Rock,1.666666667,848,https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe-hisuian.png
Arcanine,Fire,null,555,90,110,80,100,80,95,92.5,Fire,1.375,194,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png
Hisuian  Arcanine,Fire,Rock,555,95,115,80,95,80,90,92.5,Fire-Rock,1.4375,194,https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine-hisuian.png
Poliwag,Water,null,300,40,50,40,40,40,90,50,Water,1.25,1012,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png
Poliwhirl,Water,null,385,65,65,65,50,50,90,64.16666667,Water,1,799,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png
Poliwrath,Water,Fighting,510,90,95,95,70,90,70,85,Water-Fighting,1,320,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png
Abra,Psychic,null,310,25,20,15,105,55,90,51.66666667,Psychic,1.333333333,960,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png
Kadabra,Psychic,null,400,40,35,30,120,70,105,66.66666667,Psychic,1.166666667,778,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png
Alakazam,Psychic,null,500,55,50,45,135,95,120,83.33333333,Psychic,1.111111111,365,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png
Mega  Alakazam,Psychic,null,600,55,50,65,175,105,150,100,Psychic,0.769230769,70,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png
Machop,Fighting,null,305,70,80,50,35,35,35,50.83333333,Fighting,1.6,988,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png
Machoke,Fighting,null,405,80,100,70,50,60,45,67.5,Fighting,1.428571429,750,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png
Machamp,Fighting,null,505,90,130,80,65,85,55,84.16666667,Fighting,1.625,347,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png
Bellsprout,Grass,Poison,300,50,75,35,70,30,40,50,Grass-Poison,2.142857143,1012,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png
Weepinbell,Grass,Poison,390,65,90,50,85,45,55,65,Grass-Poison,1.8,791,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png
Victreebel,Grass,Poison,490,80,105,65,100,70,70,81.66666667,Grass-Poison,1.615384615,434,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png
Tentacool,Water,Poison,335,40,40,35,50,100,70,55.83333333,Water-Poison,1.142857143,879,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png
Tentacruel,Water,Poison,515,80,70,65,80,120,100,85.83333333,Water-Poison,1.076923077,308,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png
Geodude,Rock,Ground,300,40,80,100,30,30,20,50,Rock-Ground,0.8,1012,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png
Alolan  Geodude,Rock,Electric,300,40,80,100,30,30,20,50,Rock-Electric,0.8,1012,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png
Graveler,Rock,Ground,390,55,95,115,45,45,35,65,Rock-Ground,0.826086957,791,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png
Alolan  Graveler,Rock,Electric,390,55,95,115,45,45,35,65,Rock-Electric,0.826086957,791,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png
Golem,Rock,Ground,495,80,120,130,55,65,45,82.5,Rock-Ground,0.923076923,408,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png
Alolan  Golem,Rock,Electric,495,80,120,130,55,65,45,82.5,Rock-Electric,0.923076923,408,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png
Ponyta,Fire,null,410,50,85,55,65,65,90,68.33333333,Fire,1.545454545,733,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png
Galarian  Ponyta,Psychic,null,410,50,85,55,65,65,90,68.33333333,Psychic,1.545454545,733,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png
Rapidash,Fire,null,500,65,100,70,80,80,105,83.33333333,Fire,1.428571429,365,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png
Galarian  Rapidash,Psychic,Fairy,500,65,100,70,80,80,105,83.33333333,Psychic-Fairy,1.428571429,365,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png
Slowpoke,Water,Psychic,315,90,65,65,40,40,15,52.5,Water-Psychic,1,947,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png
Galarian  Slowpoke,Psychic,null,315,90,65,65,40,40,15,52.5,Psychic,1,947,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke-galarian.png
Slowbro,Water,Psychic,490,95,75,110,100,80,30,81.66666667,Water-Psychic,0.681818182,434,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png
Mega  Slowbro,Water,Psychic,590,95,75,180,130,80,30,98.33333333,Water-Psychic,0.416666667,118,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png
Galarian  Slowbro,Poison,Psychic,490,95,100,95,100,70,30,81.66666667,Poison-Psychic,1.052631579,434,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-galarian.png
Magnemite,Electric,Steel,325,25,35,70,95,55,45,54.16666667,Electric-Steel,0.5,914,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png
Magneton,Electric,Steel,465,50,60,95,120,70,70,77.5,Electric-Steel,0.631578947,587,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png
Farfetch'd,Normal,Flying,377,52,90,55,58,62,60,62.83333333,Normal-Flying,1.636363636,812,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png
Galarian  Farfetch'd,Fighting,null,377,52,95,55,58,62,55,62.83333333,Fighting,1.727272727,812,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png
Doduo,Normal,Flying,310,35,85,45,35,35,75,51.66666667,Normal-Flying,1.888888889,960,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png
Dodrio,Normal,Flying,470,60,110,70,60,60,110,78.33333333,Normal-Flying,1.571428571,568,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png
Seel,Water,null,325,65,45,55,45,70,45,54.16666667,Water,0.818181818,914,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png
Dewgong,Water,Ice,475,90,70,80,70,95,70,79.16666667,Water-Ice,0.875,545,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png
Grimer,Poison,null,325,80,80,50,40,50,25,54.16666667,Poison,1.6,914,https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png
Alolan  Grimer,Poison,Dark,325,80,80,50,40,50,25,54.16666667,Poison-Dark,1.6,914,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png
Muk,Poison,null,500,105,105,75,65,100,50,83.33333333,Poison,1.4,365,https://img.pokemondb.net/sprites/sword-shield/icon/muk.png
Alolan  Muk,Poison,Dark,500,105,105,75,65,100,50,83.33333333,Poison-Dark,1.4,365,https://img.pokemondb.net/sprites/sword-shield/icon/muk-alolan.png
Shellder,Water,null,305,30,65,100,45,25,40,50.83333333,Water,0.65,988,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png
Cloyster,Water,Ice,525,50,95,180,85,45,70,87.5,Water-Ice,0.527777778,265,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png
Gastly,Ghost,Poison,310,30,35,30,100,35,80,51.66666667,Ghost-Poison,1.166666667,960,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png
Haunter,Ghost,Poison,405,45,50,45,115,55,95,67.5,Ghost-Poison,1.111111111,750,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png
Gengar,Ghost,Poison,500,60,65,60,130,75,110,83.33333333,Ghost-Poison,1.083333333,365,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png
Mega  Gengar,Ghost,Poison,600,60,65,80,170,95,130,100,Ghost-Poison,0.8125,70,https://img.pokemondb.net/sprites/sword-shield/icon/gengar-mega.png
Onix,Rock,Ground,385,35,45,160,30,45,70,64.16666667,Rock-Ground,0.28125,799,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png
Drowzee,Psychic,null,328,60,48,45,43,90,42,54.66666667,Psychic,1.066666667,912,https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png
Hypno,Psychic,null,483,85,73,70,73,115,67,80.5,Psychic,1.042857143,503,https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png
Krabby,Water,null,325,30,105,90,25,25,50,54.16666667,Water,1.166666667,914,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png
Kingler,Water,null,475,55,130,115,50,50,75,79.16666667,Water,1.130434783,545,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png
Voltorb,Electric,null,330,40,30,50,55,55,100,55,Electric,0.6,892,https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png
Hisuian  Voltorb,Electric,Grass,330,40,30,50,55,55,100,55,Electric-Grass,0.6,892,https://img.pokemondb.net/sprites/scarlet-violet/icon/voltorb-hisuian.png
Electrode,Electric,null,490,60,50,70,80,80,150,81.66666667,Electric,0.714285714,434,https://img.pokemondb.net/sprites/sword-shield/icon/electrode.png
Hisuian  Electrode,Electric,Grass,490,60,50,70,80,80,150,81.66666667,Electric-Grass,0.714285714,434,https://img.pokemondb.net/sprites/scarlet-violet/icon/electrode-hisuian.png
Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,54.16666667,Grass-Psychic,0.5,914,https://img.pokemondb.net/sprites/sword-shield/icon/exeggcute.png
Exeggutor,Grass,Psychic,530,95,95,85,125,75,55,88.33333333,Grass-Psychic,1.117647059,235,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png
Alolan  Exeggutor,Grass,Dragon,530,95,105,85,125,75,45,88.33333333,Grass-Dragon,1.235294118,235,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor-alolan.png
Cubone,Ground,null,320,50,50,95,40,50,35,53.33333333,Ground,0.526315789,926,https://img.pokemondb.net/sprites/sword-shield/icon/cubone.png
Marowak,Ground,null,425,60,80,110,50,80,45,70.83333333,Ground,0.727272727,684,https://img.pokemondb.net/sprites/sword-shield/icon/marowak.png
Alolan  Marowak,Fire,Ghost,425,60,80,110,50,80,45,70.83333333,Fire-Ghost,0.727272727,684,https://img.pokemondb.net/sprites/sword-shield/icon/marowak-alolan.png
Hitmonlee,Fighting,null,455,50,120,53,35,110,87,75.83333333,Fighting,2.264150943,618,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonlee.png
Hitmonchan,Fighting,null,455,50,105,79,35,110,76,75.83333333,Fighting,1.329113924,618,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonchan.png
Lickitung,Normal,null,385,90,55,75,60,75,30,64.16666667,Normal,0.733333333,799,https://img.pokemondb.net/sprites/sword-shield/icon/lickitung.png
Koffing,Poison,null,340,40,65,95,60,45,35,56.66666667,Poison,0.684210526,867,https://img.pokemondb.net/sprites/sword-shield/icon/koffing.png
Weezing,Poison,null,490,65,90,120,85,70,60,81.66666667,Poison,0.75,434,https://img.pokemondb.net/sprites/sword-shield/icon/weezing.png
Galarian  Weezing,Poison,Fairy,490,65,90,120,85,70,60,81.66666667,Poison-Fairy,0.75,434,https://img.pokemondb.net/sprites/sword-shield/icon/weezing-galarian.png
Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,57.5,Ground-Rock,0.894736842,862,https://img.pokemondb.net/sprites/sword-shield/icon/rhyhorn.png
Rhydon,Ground,Rock,485,105,130,120,45,45,40,80.83333333,Ground-Rock,1.083333333,479,https://img.pokemondb.net/sprites/sword-shield/icon/rhydon.png
Chansey,Normal,null,450,250,5,5,35,105,50,75,Normal,1,637,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png
Tangela,Grass,null,435,65,55,115,100,40,60,72.5,Grass,0.47826087,666,https://img.pokemondb.net/sprites/sword-shield/icon/tangela.png
Kangaskhan,Normal,null,490,105,95,80,40,80,90,81.66666667,Normal,1.1875,434,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png
Mega  Kangaskhan,Normal,null,590,105,125,100,60,100,100,98.33333333,Normal,1.25,118,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan-mega.png
Horsea,Water,null,295,30,40,70,70,25,60,49.16666667,Water,0.571428571,1042,https://img.pokemondb.net/sprites/sword-shield/icon/horsea.png
Seadra,Water,null,440,55,65,95,95,45,85,73.33333333,Water,0.684210526,652,https://img.pokemondb.net/sprites/sword-shield/icon/seadra.png
Goldeen,Water,null,320,45,67,60,35,50,63,53.33333333,Water,1.116666667,926,https://img.pokemondb.net/sprites/sword-shield/icon/goldeen.png
Seaking,Water,null,450,80,92,65,65,80,68,75,Water,1.415384615,637,https://img.pokemondb.net/sprites/sword-shield/icon/seaking.png
Staryu,Water,null,340,30,45,55,70,55,85,56.66666667,Water,0.818181818,867,https://img.pokemondb.net/sprites/sword-shield/icon/staryu.png
Starmie,Water,Psychic,520,60,75,85,100,85,115,86.66666667,Water-Psychic,0.882352941,290,https://img.pokemondb.net/sprites/sword-shield/icon/starmie.png
Mr.  Mime,Psychic,Fairy,460,40,45,65,100,120,90,76.66666667,Psychic-Fairy,0.692307692,598,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime.png
Mr.  Mime  Galarian  Mr.  Mime,Ice,Psychic,460,50,65,65,90,90,100,76.66666667,Ice-Psychic,1,598,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime-galarian.png
Scyther,Bug,Flying,500,70,110,80,55,80,105,83.33333333,Bug-Flying,1.375,365,https://img.pokemondb.net/sprites/sword-shield/icon/scyther.png
Jynx,Ice,Psychic,455,65,50,35,115,95,95,75.83333333,Ice-Psychic,1.428571429,618,https://img.pokemondb.net/sprites/sword-shield/icon/jynx.png
Electabuzz,Electric,null,490,65,83,57,95,85,105,81.66666667,Electric,1.456140351,434,https://img.pokemondb.net/sprites/sword-shield/icon/electabuzz.png
Magmar,Fire,null,495,65,95,57,100,85,93,82.5,Fire,1.666666667,408,https://img.pokemondb.net/sprites/sword-shield/icon/magmar.png
Pinsir,Bug,null,500,65,125,100,55,70,85,83.33333333,Bug,1.25,365,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir.png
Mega  Pinsir,Bug,Flying,600,65,155,120,65,90,105,100,Bug-Flying,1.291666667,70,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir-mega.png
Tauros,Normal,null,490,75,100,95,40,70,110,81.66666667,Normal,1.052631579,434,https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png
Tauros  Combat  Breed,Fighting,null,490,75,110,105,30,70,100,81.66666667,Fighting,1.047619048,434,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-paldean.png
Tauros  Blaze  Breed,Fighting,Fire,490,75,110,105,30,70,100,81.66666667,Fighting-Fire,1.047619048,434,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-blaze.png
Tauros  Aqua  Breed,Fighting,Water,490,75,110,105,30,70,100,81.66666667,Fighting-Water,1.047619048,434,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-aqua.png
